meter_id,time,kWh
MAC000010,2014-01-01T00:00:00Z,0.643
MAC000010,2014-01-01T00:30:00Z,0.532
MAC000010,2014-01-01T01:00:00Z,0.638
MAC000010,2014-01-01T01:30:00Z,0.486
MAC000010,2014-01-01T02:00:00Z,0.348
MAC000010,2014-01-01T02:30:00Z,0.262
MAC000010,2014-01-01T03:00:00Z,0.217
MAC000010,2014-01-01T03:30:00Z,0.167
MAC000010,2014-01-01T04:00:00Z,0.183
MAC000010,2014-01-01T04:30:00Z,0.223
MAC000010,2014-01-01T05:00:00Z,0.184
MAC000010,2014-01-01T05:30:00Z,0.199
MAC000010,2014-01-01T06:00:00Z,0.257
MAC000010,2014-01-01T06:30:00Z,0.209
MAC000010,2014-01-01T07:00:00Z,0.196
MAC000010,2014-01-01T07:30:00Z,0.244
MAC000010,2014-01-01T08:00:00Z,0.216
MAC000010,2014-01-01T08:30:00Z,0.184
MAC000010,2014-01-01T09:00:00Z,0.211
MAC000010,2014-01-01T09:30:00Z,0.651
MAC000010,2014-01-01T10:00:00Z,0.325
MAC000010,2014-01-01T10:30:00Z,0.351
MAC000010,2014-01-01T11:00:00Z,0.542
MAC000010,2014-01-01T11:30:00Z,0.727
MAC000010,2014-01-01T12:00:00Z,1.678
MAC000010,2014-01-01T12:30:00Z,1.697
MAC000010,2014-01-01T13:00:00Z,1.086
MAC000010,2014-01-01T13:30:00Z,2.0799999
MAC000010,2014-01-01T14:00:00Z,2.3010001
MAC000010,2014-01-01T14:30:00Z,1.226
MAC000010,2014-01-01T15:00:00Z,3.4760001
MAC000010,2014-01-01T15:30:00Z,2.322
MAC000010,2014-01-01T16:00:00Z,1.851
MAC000010,2014-01-01T16:30:00Z,3.392
MAC000010,2014-01-01T17:00:00Z,1.84
MAC000010,2014-01-01T17:30:00Z,1.3049999
MAC000010,2014-01-01T18:00:00Z,1.982
MAC000010,2014-01-01T18:30:00Z,1.053
MAC000010,2014-01-01T19:00:00Z,2.2360001
MAC000010,2014-01-01T19:30:00Z,1.6720001
MAC000010,2014-01-01T20:00:00Z,0.906
MAC000010,2014-01-01T20:30:00Z,1.502
MAC000010,2014-01-01T21:00:00Z,1.627
MAC000010,2014-01-01T21:30:00Z,0.966
MAC000010,2014-01-01T22:00:00Z,1.2690001
MAC000010,2014-01-01T22:30:00Z,0.713
MAC000010,2014-01-01T23:00:00Z,0.799
MAC000010,2014-01-01T23:30:00Z,0.813
MAC000010,2014-01-02T00:00:00Z,0.726
MAC000010,2014-01-02T00:30:00Z,0.258
MAC000010,2014-01-02T01:00:00Z,0.284
MAC000010,2014-01-02T01:30:00Z,0.23
MAC000010,2014-01-02T02:00:00Z,0.193
MAC000010,2014-01-02T02:30:00Z,0.217
MAC000010,2014-01-02T03:00:00Z,0.226
MAC000010,2014-01-02T03:30:00Z,0.168
MAC000010,2014-01-02T04:00:00Z,0.155
MAC000010,2014-01-02T04:30:00Z,0.213
MAC000010,2014-01-02T05:00:00Z,0.214
MAC000010,2014-01-02T05:30:00Z,0.189
MAC000010,2014-01-02T06:00:00Z,0.212
MAC000010,2014-01-02T06:30:00Z,0.246
MAC000010,2014-01-02T07:00:00Z,0.577
MAC000010,2014-01-02T07:30:00Z,0.318
MAC000010,2014-01-02T08:00:00Z,0.43
MAC000010,2014-01-02T08:30:00Z,1.446
MAC000010,2014-01-02T09:00:00Z,0.699
MAC000010,2014-01-02T09:30:00Z,0.447
MAC000010,2014-01-02T10:00:00Z,0.422
MAC000010,2014-01-02T10:30:00Z,0.41
MAC000010,2014-01-02T11:00:00Z,0.596
MAC000010,2014-01-02T11:30:00Z,0.618
MAC000010,2014-01-02T12:00:00Z,0.838
MAC000010,2014-01-02T12:30:00Z,0.788
MAC000010,2014-01-02T13:00:00Z,1.288
MAC000010,2014-01-02T13:30:00Z,0.733
MAC000010,2014-01-02T14:00:00Z,0.82
MAC000010,2014-01-02T14:30:00Z,0.617
MAC000010,2014-01-02T15:00:00Z,0.743
MAC000010,2014-01-02T15:30:00Z,0.823
MAC000010,2014-01-02T16:00:00Z,0.51
MAC000010,2014-01-02T16:30:00Z,0.811
MAC000010,2014-01-02T17:00:00Z,1.516
MAC000010,2014-01-02T17:30:00Z,1.335
MAC000010,2014-01-02T18:00:00Z,0.976
MAC000010,2014-01-02T18:30:00Z,1.262
MAC000010,2014-01-02T19:00:00Z,1.579
MAC000010,2014-01-02T19:30:00Z,1.0829999
MAC000010,2014-01-02T20:00:00Z,0.846
MAC000010,2014-01-02T20:30:00Z,1.266
MAC000010,2014-01-02T21:00:00Z,1.46
MAC000010,2014-01-02T21:30:00Z,1.0650001
MAC000010,2014-01-02T22:00:00Z,1.618
MAC000010,2014-01-02T22:30:00Z,0.945
MAC000010,2014-01-02T23:00:00Z,0.897
MAC000010,2014-01-02T23:30:00Z,0.413
MAC000010,2014-01-03T00:00:00Z,0.279
MAC000010,2014-01-03T00:30:00Z,0.216
MAC000010,2014-01-03T01:00:00Z,0.192
MAC000010,2014-01-03T01:30:00Z,0.24
MAC000010,2014-01-03T02:00:00Z,0.23
MAC000010,2014-01-03T02:30:00Z,0.181
MAC000010,2014-01-03T03:00:00Z,0.172
MAC000010,2014-01-03T03:30:00Z,0.214
MAC000010,2014-01-03T04:00:00Z,0.172
MAC000010,2014-01-03T04:30:00Z,0.154
MAC000010,2014-01-03T05:00:00Z,0.221
MAC000010,2014-01-03T05:30:00Z,0.235
MAC000010,2014-01-03T06:00:00Z,0.185
MAC000010,2014-01-03T06:30:00Z,0.204
MAC000010,2014-01-03T07:00:00Z,0.565
MAC000010,2014-01-03T07:30:00Z,0.376
MAC000010,2014-01-03T08:00:00Z,0.356
MAC000010,2014-01-03T08:30:00Z,0.94
MAC000010,2014-01-03T09:00:00Z,0.84
MAC000010,2014-01-03T09:30:00Z,0.476
MAC000010,2014-01-03T10:00:00Z,0.996
MAC000010,2014-01-03T10:30:00Z,0.647
MAC000010,2014-01-03T11:00:00Z,0.578
MAC000010,2014-01-03T11:30:00Z,0.594
MAC000010,2014-01-03T12:00:00Z,0.64
MAC000010,2014-01-03T12:30:00Z,1.029
MAC000010,2014-01-03T13:00:00Z,0.868
MAC000010,2014-01-03T13:30:00Z,0.859
MAC000010,2014-01-03T14:00:00Z,1.189
MAC000010,2014-01-03T14:30:00Z,2.2360001
MAC000010,2014-01-03T15:00:00Z,1.334
MAC000010,2014-01-03T15:30:00Z,1.48
MAC000010,2014-01-03T16:00:00Z,1.627
MAC000010,2014-01-03T16:30:00Z,0.934
MAC000010,2014-01-03T17:00:00Z,0.965
MAC000010,2014-01-03T17:30:00Z,1.118
MAC000010,2014-01-03T18:00:00Z,1.164
MAC000010,2014-01-03T18:30:00Z,1.943
MAC000010,2014-01-03T19:00:00Z,1.902
MAC000010,2014-01-03T19:30:00Z,1.548
MAC000010,2014-01-03T20:00:00Z,1.048
